"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"[PASS] Điểm SEO: 100/100 | Đạt: 15/15 tiêu chí | Ngưỡng: 96%

XUẤT SẮC","10279","Kiểm tra SEO Onpage: Quảng cáo truyền thông (/quang-cao-truyen-thong)","Desktop Chrome","2026-08-29","passed","2026-08-29","SEO Page","seo/seo.spec.ts","",""
"","11386","Search should handle từ khóa không tồn tại trên hệ thống","Desktop Chrome","2026-08-29","failed","2026-08-29","Search Feature Tests","web/search.spec.ts","",""
"","4889","Login should fail with sai tên đăng nhập","Desktop Chrome","2026-08-29","passed","2026-08-29","Admin Login Feature Tests","admin/adminLogin.spec.ts","",""
"[FAIL] Điểm SEO: 94/100 | Đạt: 17/18 tiêu chí | Ngưỡng: 96%

XUẤT SẮC","72874","Kiểm tra SEO Onpage: Công ty quảng cáo truyền thông - Quảng cáo ngoài trời chuyên nghiệp cùng Minh Lợi (/index.php)","Desktop Chrome","2026-08-29","failed","2026-08-29","SEO Page","seo/seo.spec.ts","",""
"[FAIL] Điểm SEO: 93/100 | Đạt: 14/15 tiêu chí | Ngưỡng: 96%

XUẤT SẮC","16263","Kiểm tra SEO Onpage: Treo Cờ Phướn Quảng Cáo TPHCM-Treo Nhanh, Chất Lượng (/treo-co-phuon-quang-cao-tphcm-treo-nhanh-chat-luong)","Desktop Chrome","2026-08-29","failed","2026-08-29","SEO Page","seo/seo.spec.ts","",""
"[PASS] Điểm SEO: 100/100 | Đạt: 18/18 tiêu chí | Ngưỡng: 96%

XUẤT SẮC","72843","Kiểm tra SEO Onpage: Tin tức (/tin-tuc)","Desktop Chrome","2026-08-29","passed","2026-08-29","SEO Page","seo/seo.spec.ts","",""
"[PASS] Điểm SEO: 100/100 | Đạt: 15/15 tiêu chí | Ngưỡng: 96%

XUẤT SẮC","11736","Kiểm tra SEO Onpage: Roadshow, Posm, Event (/roadshow-posm-event)","Desktop Chrome","2026-08-29","passed","2026-08-29","SEO Page","seo/seo.spec.ts","",""
"","5359","Login should fail with tấn công SQL Injection","Desktop Chrome","2026-08-29","passed","2026-08-29","Admin Login Feature Tests","admin/adminLogin.spec.ts","",""
"[PASS] Điểm SEO: 100/100 | Đạt: 15/15 tiêu chí | Ngưỡng: 96%

XUẤT SẮC","11178","Kiểm tra SEO Onpage: Treo Băng Rôn TPHCM - Treo Tuyến Đường Đẹp, Chuẩn (/treo-bang-ron-tphcm-treo-tuyen-duong-dep-chuan)","Desktop Chrome","2026-08-29","passed","2026-08-29","SEO Page","seo/seo.spec.ts","",""
"[PASS] Điểm SEO: 100/100 | Đạt: 15/15 tiêu chí | Ngưỡng: 96%

XUẤT SẮC","14765","Kiểm tra SEO Onpage: CHUỖI NHÀ PHÂN PHỐI &amp; ĐẠI LÝ (/chuoi-nha-phan-phoi-dai-ly)","Desktop Chrome","2026-08-29","passed","2026-08-29","SEO Page","seo/seo.spec.ts","",""
"[FAIL] Điểm SEO: 90/100 | Đạt: 19/21 tiêu chí | Ngưỡng: 96%

TỐT","59696","Kiểm tra SEO Onpage: Về chúng tôi (/gioi-thieu)","Desktop Chrome","2026-08-29","failed","2026-08-29","SEO Page","seo/seo.spec.ts","",""
"","12286","Add news should fail with không nhập đường dẫn mẫu","Desktop Chrome","2026-08-29","passed","2026-08-29","News Management Tests","admin/news.spec.ts","",""
"","13423","Add news should fail with không nhập tiêu đề","Desktop Chrome","2026-08-29","passed","2026-08-29","News Management Tests","admin/news.spec.ts","",""
"","131873","Bulk insert 35 news via Copy and verify Load More on website","Desktop Chrome","2026-08-29","failed","2026-08-29","News Management Tests","admin/news.spec.ts","",""
"[FAIL] Điểm SEO: 94/100 | Đạt: 17/18 tiêu chí | Ngưỡng: 96%

XUẤT SẮC","61782","Kiểm tra SEO Onpage: Liên hệ (/lien-he)","Desktop Chrome","2026-08-29","failed","2026-08-29","SEO Page","seo/seo.spec.ts","",""
"","27799","Add recruitment successfully and verify on website","Desktop Chrome","2026-08-29","passed","2026-08-29","Recruitment Management Tests","admin/recruitment.spec.ts","",""
"[PASS] Điểm SEO: 100/100 | Đạt: 15/15 tiêu chí | Ngưỡng: 96%

XUẤT SẮC","25613","Kiểm tra SEO Onpage: PANO BILLBOARD QUẢNG CÁO (/pano-billboard-quang-cao)","Desktop Chrome","2026-08-29","passed","2026-08-29","SEO Page","seo/seo.spec.ts","",""
"","37939","Submit form successfully with valid data","Desktop Chrome","2026-08-29","failed","2026-08-29","Contract Feature Tests","web/contract.spec.ts","",""
"","5619","Search form successfully finds product using dynamic keyword from homepage","Desktop Chrome","2026-08-29","failed","2026-08-29","Search Feature Tests","web/search.spec.ts","",""
"","9360","Submit form should fail with số điện thoại quá ngắn","Desktop Chrome","2026-08-29","passed","2026-08-29","Contract Feature Tests","web/contract.spec.ts","",""
"[FAIL] Điểm SEO: 86/100 | Đạt: 18/21 tiêu chí | Ngưỡng: 96%

TỐT","84094","Kiểm tra SEO Onpage: Hạng mục thi công (/hang-muc-thi-cong)","Desktop Chrome","2026-08-29","failed","2026-08-29","SEO Page","seo/seo.spec.ts","",""
