"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"1","SEO","0","SEO Page","0","0","Phân tích SEO chuyên sâu: Dự án","0"
"0","SEO","1","SEO Page","0","0","Phân tích SEO chuyên sâu: Cúp C3  tên chính thức hiện tại là UEFA","0"
"0","Admin","1","Add and Verify Projects","0","0","Valid Project Addition Flow","0"
"1","SEO","0","SEO Page","0","0","Phân tích SEO chuyên sâu: Sản phẩm","0"
"1","SEO","0","SEO Page","0","0","Phân tích SEO chuyên sâu: Bàn sofa","0"
"0","Admin","0","Add and Verify Product","1","0","Invalid Product: KHÔNG NHẬP TIÊU ĐỀ","0"
"0","SEO","1","SEO Page","0","0","Phân tích SEO chuyên sâu: Gỗ soài","0"
"0","Admin","1","Add and Verify Projects","0","0","Invalid Project: KHÔNG NHẬP ĐƯỜNG DẪN MẪU","0"
"0","SEO","1","SEO Page","0","0","Phân tích SEO chuyên sâu: Tìm Hiểu Giải Cúp C1 Là Gì?","0"
"0","SEO","1","SEO Page","0","0","Phân tích SEO chuyên sâu: Bàn cafe","0"
"0","SEO","1","SEO Page","0","0","Phân tích SEO chuyên sâu: Thảm sofa","0"
"0","SEO","1","SEO Page","0","0","Phân tích SEO chuyên sâu: Kệ Tầng MION","0"
"0","Web","0","Submit Contract Form","1","0","Invalid Contract: BỎ TRỐNG NỘI DUNG","0"
"0","Web","0","Search from Homepage Dropdown","1","0","Invalid Search: TỪ KHÓA CHỨA TOÀN KÝ TỰ ĐẶC BIỆT","0"
"0","Admin","0","Add and Verify Recruitments","1","0","Invalid Recruitment: KHÔNG NHẬP TIÊU ĐỀ","0"
"0","Admin","0","Add and Verify Product","1","0","Invalid Product: KHÔNG NHẬP ĐƯỜNG DẪN MẪU","0"
"0","Web","2","Checkout & Payment","4","0","Checkout Negative Scenarios","0"
"0","Admin","0","Add and Verify Product","1","0","Valid Product Addition Flow","0"
"0","SEO","1","SEO Page","0","0","Phân tích SEO chuyên sâu: Thi công phòng bếp","0"
"0","Authentication","0","Admin Login","1","0","Invalid Admin Login: BỎ TRỐNG TÊN ĐĂNG NHẬP","0"
"0","SEO","1","SEO Page","0","0","Phân tích SEO chuyên sâu: Chân bàn rời","0"
"0","SEO","1","SEO Page","0","0","Phân tích SEO chuyên sâu: Ghế văn phòng","0"
"0","SEO","1","SEO Page","0","0","Phân tích SEO chuyên sâu: Cao cấp","0"
"0","SEO","1","SEO Page","0","0","Phân tích SEO chuyên sâu: KỆ XEGON","0"
"0","Authentication","0","Admin Login","1","0","Valid Admin Login","0"
"0","SEO","1","SEO Page","0","0","Phân tích SEO chuyên sâu: Vì sao xe điện đang trở thành xu hướng của ngành ô tô toàn cầu?","0"
"0","Web","1","Shopping Cart","0","0","Increase Product Quantity in Cart","0"
"0","SEO","1","SEO Page","0","0","Phân tích SEO chuyên sâu: Mẫu xe hybrid","0"
"0","SEO","1","SEO Page","0","0","Phân tích SEO chuyên sâu: Tĩnh lặng house 3 (1) (1) (1)","0"
"0","SEO","1","SEO Page","0","0","Phân tích SEO chuyên sâu: Bàn họp","0"
"0","SEO","1","SEO Page","0","0","Phân tích SEO chuyên sâu: Bàn trang điểm","0"
"0","Web","1","Shopping Cart","0","0","Decrease Product Quantity in Cart","0"
"0","SEO","1","SEO Page","0","0","Phân tích SEO chuyên sâu: Ghế cafe gỗ","0"
"0","Admin","1","Add and Verify Recruitments","0","0","Valid Recruitment Addition Flow","0"
"0","Web","0","Submit Contract Form","1","0","Valid Contract Submission","0"
"1","SEO","0","SEO Page","0","0","Phân tích SEO chuyên sâu: Bảo mật thông tin khách hàng","0"
"0","SEO","1","SEO Page","0","0","Phân tích SEO chuyên sâu: KỆ FONUN","0"
"0","SEO","1","SEO Page","0","0","Phân tích SEO chuyên sâu: Sofa băng","0"
"1","SEO","0","SEO Page","0","0","Phân tích SEO chuyên sâu: Bàn Console","0"
"1","SEO","0","SEO Page","0","0","Phân tích SEO chuyên sâu: Kệ tivi","0"
"0","Web","1","Checkout & Payment","0","0","Checkout using COD","0"
"0","Web","0","Search from Homepage Dropdown","1","0","Invalid Search: TỪ KHÓA KHÔNG TỒN TẠI TRÊN HỆ THỐNG","0"
"0","SEO","1","SEO Page","0","0","Phân tích SEO chuyên sâu: Giường ngủ bé cưng","0"
"0","Admin","0","Add and Verify News","1","0","Valid News Addition Flow","0"
"0","SEO","1","SEO Page","0","0","Phân tích SEO chuyên sâu: Ghế quầy bar","0"
"0","Web","0","Shopping Cart","1","0","Empty Cart Verification","0"
"1","SEO","0","SEO Page","0","0","Phân tích SEO chuyên sâu: Liên hệ","0"
"1","Admin","0","Add and Verify Recruitments","0","0","Bulk Insert and Pagination Verification","0"
"0","SEO","1","SEO Page","0","0","Phân tích SEO chuyên sâu: Bàn học và ghế học","0"
"0","Web","1","Shopping Cart","0","0","Add Single Product to Cart","0"
"1","SEO","0","SEO Page","0","0","Phân tích SEO chuyên sâu: Tab đầu giường","0"
"1","SEO","0","SEO Page","0","0","Phân tích SEO chuyên sâu: https://code2.mimadigi.vn/2026/august/cfurni_111926w/","0"
"1","SEO","0","SEO Page","0","0","Phân tích SEO chuyên sâu: Ghế ăn","0"
"0","Web","1","Shopping Cart","0","0","Add Multiple Products to Cart","0"
"0","SEO","1","SEO Page","0","0","Phân tích SEO chuyên sâu: Fafe","0"
"0","Web","0","Search from Homepage Dropdown","1","0","Invalid Search: TỪ KHÓA CHỈ CÓ 1 KHOẢNG TRẮNG","0"
"0","Web","0","Submit Contract Form","1","0","Invalid Contract: BỎ TRỐNG EMAIL","0"
"1","Admin","0","Add and Verify News","0","0","Bulk Insert and Pagination Verification","0"
"0","SEO","1","SEO Page","0","0","Phân tích SEO chuyên sâu: Lionel Messi vs Cristiano Ronaldo: Ai mới thực sự là ông vua của các danh hiệu?","0"
"0","Web","0","Search from Homepage Dropdown","1","0","Dynamic Keyword Search","0"
"0","Admin","1","Add and Verify Product","0","0","Bulk Insert and Pagination Verification","0"
"0","SEO","1","SEO Page","0","0","Phân tích SEO chuyên sâu: Sofa đẹp","0"
"0","Web","1","Shopping Cart","0","0","Delete Product from Cart","0"
"0","SEO","1","SEO Page","0","0","Phân tích SEO chuyên sâu: Phòng ngủ","0"
"0","SEO","1","SEO Page","0","0","Phân tích SEO chuyên sâu: Cúp C2 là gì? Tất tần tật về Europa League","0"
"0","SEO","1","SEO Page","0","0","Phân tích SEO chuyên sâu: Băng chờ","0"
"0","SEO","1","SEO Page","0","0","Phân tích SEO chuyên sâu: Ghế trang điểm","0"
"0","SEO","1","SEO Page","0","0","Phân tích SEO chuyên sâu: Tủ văn phòng","0"
"1","SEO","0","SEO Page","0","0","Phân tích SEO chuyên sâu: Chính sách đổi trả","0"
"0","SEO","1","SEO Page","0","0","Phân tích SEO chuyên sâu: Sofa thư giãn","0"
"0","SEO","1","SEO Page","0","0","Phân tích SEO chuyên sâu: Sofa đôn","0"
"1","SEO","0","SEO Page","0","0","Phân tích SEO chuyên sâu: Tin tức","0"
"0","Admin","1","Add and Verify Projects","0","0","Invalid Project: KHÔNG NHẬP TIÊU ĐỀ","0"
"1","SEO","0","SEO Page","0","0","Phân tích SEO chuyên sâu: Văn phòng","0"
"0","SEO","1","SEO Page","0","0","Phân tích SEO chuyên sâu: Giường cổ điển","0"
"0","SEO","1","SEO Page","0","0","Phân tích SEO chuyên sâu: Bàn giám đốc","0"
"0","SEO","1","SEO Page","0","0","Phân tích SEO chuyên sâu: Bàn Tròn Xoay BA8","0"
"0","SEO","1","SEO Page","0","0","Phân tích SEO chuyên sâu: Bàn trà BONY W23","0"
"0","SEO","1","SEO Page","0","0","Phân tích SEO chuyên sâu: Bàn quầy bar","0"
"1","SEO","0","SEO Page","0","0","Phân tích SEO chuyên sâu: Bàn ăn","0"
"0","Web","0","Submit Contract Form","1","0","Invalid Contract: SỐ ĐIỆN THOẠI CHỨA CHỮ CÁI","0"
"0","Authentication","0","Admin Login","1","0","Invalid Admin Login: SAI TÊN ĐĂNG NHẬP","0"
"0","Admin","0","Add and Verify News","1","0","Invalid News: KHÔNG NHẬP ĐƯỜNG DẪN MẪU","0"
"0","SEO","1","SEO Page","0","0","Phân tích SEO chuyên sâu: Bàn văn phòng","0"
"0","Admin","0","Add and Verify Recruitments","1","0","Invalid Recruitment: KHÔNG NHẬP ĐƯỜNG DẪN MẪU","0"
"0","SEO","1","SEO Page","0","0","Phân tích SEO chuyên sâu: Hàng giải trí","0"
"1","SEO","0","SEO Page","0","0","Phân tích SEO chuyên sâu: Giới thiệu","0"
"0","SEO","1","SEO Page","0","0","Phân tích SEO chuyên sâu: Cách chọn bàn ăn phong cách hiện đại","0"
"1","SEO","0","SEO Page","0","0","Phân tích SEO chuyên sâu: Ghế thư giãn JT","0"
"0","SEO","1","SEO Page","0","0","Phân tích SEO chuyên sâu: Sofa bệt và bed","0"
"0","Authentication","0","Admin Login","1","0","Invalid Admin Login: SAI MẬT KHẨU","0"
"1","SEO","0","SEO Page","0","0","Phân tích SEO chuyên sâu: Ghế ROOVY","0"
"0","SEO","1","SEO Page","0","0","Phân tích SEO chuyên sâu: Bàn Tab MUSE","0"
"1","SEO","0","SEO Page","0","0","Phân tích SEO chuyên sâu: Tủ hồ sơ","0"
"0","SEO","1","SEO Page","0","0","Phân tích SEO chuyên sâu: Sofa góc (L)","0"
"0","SEO","1","SEO Page","0","0","Phân tích SEO chuyên sâu: Bàn CF HURI B31A","0"
"0","SEO","1","SEO Page","0","0","Phân tích SEO chuyên sâu: Ghế ngoài trời AV09","0"
