"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"[PASS] Điểm SEO: 100/100 | Đạt: 15/15 tiêu chí | Ngưỡng: 96%

XUẤT SẮC","29037","Kiểm tra SEO Onpage: Phụ tùng của Máy In Phun hiệu Hitachi (/phu-tung-cua-may-in-phun-hieu-hitachi)","Desktop Chrome","2026-09-03","passed","2026-09-03","SEO Page","seo/seo.spec.ts","",""
"","17452","Add product should fail with không nhập tiêu đề","Desktop Chrome","2026-09-03","passed","2026-09-03","Product Management Tests","admin/product.spec.ts","",""
"","9756","Submit form should fail with sai định dạng email","Desktop Chrome","2026-09-03","passed","2026-09-03","Contract Feature Tests","web/contract.spec.ts","",""
"","9432","Submit form should fail with bỏ trống điện thoại","Desktop Chrome","2026-09-03","passed","2026-09-03","Contract Feature Tests","web/contract.spec.ts","",""
"","151211","Bulk insert 35 products via Copy and verify Load More on website","Desktop Chrome","2026-09-03","failed","2026-09-03","Product Management Tests","admin/product.spec.ts","",""
"","6435","Login should fail with sai mật khẩu","Desktop Chrome","2026-09-03","passed","2026-09-03","Admin Login Feature Tests","admin/adminLogin.spec.ts","",""
"[FAIL] Điểm SEO: 93/100 | Đạt: 14/15 tiêu chí | Ngưỡng: 96%

XUẤT SẮC","14940","Kiểm tra SEO Onpage: Top 5 dung môi pha mực tốt nhất (/top-5-dung-moi-pha-muc-tot-nhat)","Desktop Chrome","2026-09-03","failed","2026-09-03","SEO Page","seo/seo.spec.ts","",""
"","5455","Login should fail with bỏ trống mật khẩu","Desktop Chrome","2026-09-03","passed","2026-09-03","Admin Login Feature Tests","admin/adminLogin.spec.ts","",""
"[PASS] Điểm SEO: 100/100 | Đạt: 15/15 tiêu chí | Ngưỡng: 96%

XUẤT SẮC","12276","Kiểm tra SEO Onpage: Phụ tùng của Máy in phun hiệu Leibinger (/phu-tung-cua-may-in-phun-hieu-leibinger)","Desktop Chrome","2026-09-03","passed","2026-09-03","SEO Page","seo/seo.spec.ts","",""
"","10303","Search should handle từ khóa chỉ có 1 khoảng trắng","Desktop Chrome","2026-09-03","passed","2026-09-03","Search Feature Tests","web/search.spec.ts","",""
