"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","SEO","0","SEO Page","1","0","Phân tích SEO chuyên sâu: Chính Sách bảo hành","0"
"0","SEO","0","SEO Page","1","0","Phân tích SEO chuyên sâu: Rèm Cửa Tốt Nhất Ở TP.HCM","0"
"0","Authentication","0","Admin Login","1","0","Invalid Admin Login: TẤN CÔNG SQL INJECTION","0"
"0","SEO","0","SEO Page","1","0","Phân tích SEO chuyên sâu: RÈM VĂN PHÒNG","0"
"0","","8","","0","0","","0"
"0","SEO","1","SEO Page","0","0","Phân tích SEO chuyên sâu: Dịch vụ","0"
"0","Web","0","Submit Contract Form","1","0","Invalid Contract: SAI ĐỊNH DẠNG EMAIL","0"
"0","SEO","0","SEO Page","1","0","Phân tích SEO chuyên sâu: Chính Sách Lắp Đặt","0"
"0","SEO","1","SEO Page","0","0","Phân tích SEO chuyên sâu: /index.php","0"
"0","SEO","1","SEO Page","0","0","Phân tích SEO chuyên sâu: Công trình","0"
"0","SEO","0","SEO Page","1","0","Phân tích SEO chuyên sâu: GIÀN PHƠI ĐỒ","0"
"0","SEO","0","SEO Page","1","0","Phân tích SEO chuyên sâu: RÈM ROMAN","0"
"0","Web","0","Search from Homepage Dropdown","1","0","Invalid Search: TỪ KHÓA KHÔNG TỒN TẠI TRÊN HỆ THỐNG","0"
"0","SEO","0","SEO Page","1","0","Phân tích SEO chuyên sâu: Chính Sách Đổi Trả","0"
"0","Web","0","Submit Contract Form","1","0","Invalid Contract: BỎ TRỐNG EMAIL","0"
"0","Web","0","Submit Contract Form","1","0","Invalid Contract: SỐ ĐIỆN THOẠI QUÁ NGẮN","0"
"0","Authentication","0","Admin Login","1","0","Invalid Admin Login: BỎ TRỐNG TÊN ĐĂNG NHẬP","0"
"0","Authentication","0","Admin Login","1","0","Invalid Admin Login: SAI MẬT KHẨU","0"
"0","Authentication","0","Admin Login","1","0","Invalid Admin Login: SAI TÊN ĐĂNG NHẬP","0"
"0","SEO","0","SEO Page","1","0","Phân tích SEO chuyên sâu: Hoàn thiện khu nhà phố rèm cửa kết hợp giấy dán tường","0"
"0","SEO","0","SEO Page","1","0","Phân tích SEO chuyên sâu: RÈM CẦU VỒNG","0"
"0","Web","0","Submit Contract Form","1","0","Invalid Contract: SỐ ĐIỆN THOẠI CHỨA CHỮ CÁI","0"
"0","Web","0","Submit Contract Form","1","0","Invalid Contract: BỎ TRỐNG ĐIỆN THOẠI","0"
"0","SEO","1","SEO Page","0","0","Phân tích SEO chuyên sâu: Quy định về hình thức thanh toán","0"
"0","Web","1","Submit Contract Form","0","0","Valid Contract Submission","0"
"0","Web","0","Search from Homepage Dropdown","1","0","Invalid Search: TỪ KHÓA CHỈ CÓ 1 KHOẢNG TRẮNG","0"
"0","Authentication","1","Admin Login","0","0","Valid Admin Login","0"
"0","SEO","0","SEO Page","1","0","Phân tích SEO chuyên sâu: RÈM NGOÀI TRỜI","0"
"0","SEO","1","SEO Page","0","0","Phân tích SEO chuyên sâu: Sản phẩm","0"
"0","SEO","0","SEO Page","1","0","Phân tích SEO chuyên sâu: Rèm Cầu Vồng Đẹp","0"
"0","SEO","1","SEO Page","0","0","Phân tích SEO chuyên sâu: Liên hệ","0"
"0","SEO","0","SEO Page","1","0","Phân tích SEO chuyên sâu: Chính sách bảo mật thông tin","0"
"0","Web","0","Search from Homepage Dropdown","1","0","Invalid Search: TỪ KHÓA CHỨA TOÀN KÝ TỰ ĐẶC BIỆT","0"
"0","SEO","0","SEO Page","1","0","Phân tích SEO chuyên sâu: Dịch Vụ Lắp Rèm Cửa Tại Nhà Giá Siêu Rẻ Ở TP HCM","0"
"0","SEO","0","SEO Page","1","0","Phân tích SEO chuyên sâu: RÈM VẢI","0"
"0","Authentication","0","Admin Login","1","0","Invalid Admin Login: BỎ TRỐNG MẬT KHẨU","0"
"0","Web","0","Submit Contract Form","1","0","Invalid Contract: BỎ TRỐNG NỘI DUNG","0"
"0","SEO","0","SEO Page","1","0","Phân tích SEO chuyên sâu: RÈM VẢI MỘT LỚP","0"
"0","SEO","1","SEO Page","0","0","Phân tích SEO chuyên sâu: Về chúng tôi","0"
"0","SEO","0","SEO Page","1","0","Phân tích SEO chuyên sâu: RÈM CỬA TỰ ĐỘNG","0"
"0","SEO","0","SEO Page","1","0","Phân tích SEO chuyên sâu: RÈM SÁO GỖ","0"
"0","SEO","1","SEO Page","0","0","Phân tích SEO chuyên sâu: Tin tức","0"
"0","Web","1","Search from Homepage Dropdown","0","0","Dynamic Keyword Search","0"
"0","SEO","0","SEO Page","1","0","Phân tích SEO chuyên sâu: RÈM VẢI HAI LỚP","0"
